Code,Short Description,Start Date,End date,Default
02,Null Session,01-Jul-11,01-Jul-2049
03,Annual  free session ,01-Jul-11,01-Jul-2049
04,Teaching/supervised play - Free,01-Jul-2011,01-Jul-2049
05,Exempt District League one-day event,01-Jul-2011,01-Jul-2049
06,Children in Need Sims Pairs. Free ,01-Jul-2011,01-Jul-2049
10,Normal club event,01-Jul-2011,01-Jul-2049,Y
11,Charged Teaching Session,01-Apr-2013,01-Jul-2049
20,County event to 31-Mar-12 -  Free ,01-Jul-2011,31-Mar-2012
20,County event from 1-Apr-12,01-Apr-2012,01-Jul-2049
21,League or knockout event,01-Apr-2012,01-Jul-2049
22,Approved novice event,01-Jul-2011,01-Jul-2049
30,Licensed affiliated event,01-Jul-2011,01-Jul-2049
40,Affiliated charity event,01-Jul-2011,01-Jul-2049
50,Affiliated/associated blue-pointed event,01-Apr-2012,01-Jul-2049
60,Licensed county green-pointed event.,01-Jul-2011,01-Jul-2049
70,Event run by non-affiliated operator in England,01-Jul-2011,01-Jul-2049
71,Event run by non-affiliated operator overseas,01-Jul-2011,01-Jul-2049
99,EBU Event,01-Jul-11,01-Jul-2049
